,CIM,CIV,CIC,Dirichlet,abalone,glass,iris,wine
Change in Mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change KNN,0.04,0.04,0.03,0.14,2.34,0.01,0.0,6.44
KCP-linear,0.2,0.21,0.2,0.31,2.52,0.16,0.09,6.76
KCP-rbf,0.16,0.17,0.16,0.29,4.22,0.05,0.03,10.18
MultiRank,1.13,1.1,0.97,2.63,43.94,0.26,0.17,118.3
Change Forest,0.3,0.3,0.29,2.09,4.74,0.18,0.06,6.65
