,CIM,CIV,CIC,Dirichlet,abalone,glass,iris,wine
Change in Mean,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1.0
change KNN,0.0,0.0,0.0,0.11,0.0,0.06,0.17,0.06
KCP-linear,0.0,0.0,0.0,0.0,0.17,1.0,0.33,0.22
KCP-rbf,0.0,0.0,0.0,0.0,0.06,0.0,0.22,0.0
MultiRank,0.0,0.0,0.0,0.17,1.0,0.89,0.94,1.0
Change Forest,0.0,0.0,0.0,0.0,0.06,0.0,0.11,0.0
