,Plane,synthetic Control,Pistachio,Rice
Change in Mean,0.030166193346844932,0.04481226734494073,0.10822437074502249,0.06795500235260966
change KNN,0.023905011515758474,0.023403603374298625,0.018545010621184695,0.007958338427826396
KCP-linear,0.03138374852505259,0.052228670666951096,0.19450368381396171,0.03695100802935537
KCP-rbf,0.0,0.0,0.0,0.0
MultiRank,0.15409204739934307,0.08193217584483273,0.0018583783364478964,0.10915090525078405
Change Forest,0.027988670532453876,0.02468361949701739,0.05909632103323484,0.015714745990475117
