,CIM,CIV,CIC,Dirichlet,abalone,glass,iris,wine
Change in Mean,0.002204530432689655,0.21100324095414796,0.0,0.0,0.03989338827626317,0.10365687020227504,0.07843187522790097,0.0150325231836003
change KNN,0.016168727046380484,0.0,0.07644000900667364,0.16538948575798992,0.08421334726723702,0.05903201529772352,0.017439155036290677,0.009426645084594048
KCP-linear,0.009477515396517368,0.0,0.27881463342506,0.0645145158469438,0.04242930743957984,0.09956562844246677,0.08203947844812147,0.09935978768839837
KCP-rbf,0.0,0.0,0.0,0.0666241152375408,0.08265110878711326,0.0,0.0,0.0
MultiRank,0.0005004187482376853,0.0,0.04109067220954305,0.010938156212776528,0.09273758364498576,0.06788158794611174,0.19826770073087413,0.03349747189829028
Change Forest,0.020650914266628316,0.027170516181446933,0.10763422148448784,0.011110599941633435,0.03689756868397348,0.05815830324549152,0.01891905144710306,0.0036704223612160623
